System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle2_hipe2020_en_2	NEL-LIT-micro-fuzzy-TIME-ALL-LED-ALL-@1	ALL	0.463	0.474	0.469				213	247	236
team2_bundle2_hipe2020_en_2	NEL-LIT-micro-strict-TIME-ALL-LED-ALL-@1	ALL	0.359	0.367	0.363				165	295	284
team2_bundle2_hipe2020_en_2	NEL-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL-@1	ALL	0.462	0.483	0.473	0.257	0.264	0.269			
team2_bundle2_hipe2020_en_2	NEL-LIT-macro_doc-strict-TIME-ALL-LED-ALL-@1	ALL	0.361	0.375	0.369	0.24	0.246	0.244			
